DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Yintale	yint1235	1256	HEAD	38	ʃi³³_kəo⁵⁵	173	ʃ i ³³ _ k ə o ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1256	HEAD	38	dum-po	32	d u m + p o	
Pa'O	paok1235	1256	HEAD	38	kəʔ¹¹_tu³³	173	k ə ʔ ¹¹ _ t u ³³	
W. Kayah	west2409	1256	HEAD	38	khu¹¹_klɔ⁵⁵	173	kʰ u ¹¹ _ k l ɔ ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1256	HEAD	38	mgo	283	m g o	
Ninglang-Naxi	naxi1245	1256	HEAD	38	ɣo⁵⁵_khua³¹	227	ɣ o ⁵⁵ _ kʰ u a ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1256	HEAD	38	toko→lak	283	t o k o + l a k	Naga Ao
Garo	garo1247	1256	HEAD	38	sko	283	s k o	
Sherpa	sher1255	1256	HEAD	38	go_LF	283	g o	Solu-Khumbu Sherpa
Manu	manu1255	1256	HEAD	38	u¹¹_kø⁴⁴	173	u ¹¹ _ k ø ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1256	HEAD	38	kəklvu⁵⁵	173	k ə k l v u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1256	HEAD	38	telam	192	t e l a m	Naga Ao
Yimchunrü	yimc1240	1256	HEAD	38	kuro	283	k u r o	Naga Yimchungru
Burmese	nucl1310	1256	HEAD	38	khauŋː	227	kʰ a u ŋː	
Lhasa Tibetan	tibe1272	1256	HEAD	38	ko¹³	283	k o ¹³	
Kusunda	kusu1250	1256	HEAD	130	ipi	0	i p i	
Nishi	nisi1238	1408	HEAR	39	ta	622	t a	Nisi?
Geker	geko1235	1408	HEAR	39	na²²_xɨ⁴⁴	558	n a ²² _ x ɨ ⁴⁴	Geko Karen?
Geba	geba1237	1408	HEAR	39	kəṭɛ²²_hɛ⁴⁴	328	k ə ʈ ɛ ²² _ h ɛ ⁴⁴	
Lijiang-Naxi	lich1241	1408	HEAR	39	kho³³_mi³³	299	kʰ o ³³ _ m i ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1408	HEAR	39	nhɔ⁴²_tɔ⁴⁴	558	nʰ ɔ ⁴² _ t ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1408	HEAR	39	than	545	tʰ a n	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1408	HEAR	39	na²²_hu⁴⁴	558	n a ²² _ h u ⁴⁴	
Lhota	loth1237	1408	HEAR	39	zo	76	z o	Naga Lotha
Tujia	nort2732	1408	HEAR	39	zu⁴_liau¹	76	z u ⁴ _ l i a u ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1408	HEAR	39	na³³_xũŋ⁵⁵	558	n a ³³ _ x ũ ∼ ŋ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1408	HEAR	39	ta	622	t a	
Pa'O	paok1235	1408	HEAR	39	xɨn⁴⁴	328	x ɨ n ⁴⁴	
W. Kayah	west2409	1408	HEAR	39	nị⁴²_xɨə³³	558	n ḭ ⁴² _ x ɨ ə ³³	Kayah Western
Written Tibetan	tibe1272	1408	HEAR	39	go	299	g o	
Ninglang-Naxi	naxi1245	1408	HEAR	39	khua³³_ńi³³	299	kʰ u a ³³ _ nʲ i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1408	HEAR	39	aŋa→ši	411	a ŋ a + ʃ i	Naga Ao
Garo	garo1247	1408	HEAR	39	knaa	558	k n aː	
Sherpa	sher1255	1408	HEAR	39	ŋyen_LF-	102	ŋ y e n +	Solu-Khumbu Sherpa
Manu	manu1255	1408	HEAR	39	kənạ³³_de¹¹	558	k ə n a̰ ³³ _ d e ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1408	HEAR	39	ləhv⁵⁵	328	l ə h v ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1408	HEAR	39	ŋa	411	ŋ a	Naga Ao
Yimchunrü	yimc1240	1408	HEAR	39	aso	110	a s o	Naga Yimchungru
Burmese	nucl1310	1408	HEAR	39	kraː	596	k r aː	
Lhasa Tibetan	tibe1272	1408	HEAR	39	kho¹³	299	kʰ o ¹³	
Geker	geko1235	1408	HEAR	39	na²²_xɨ⁴⁴	328	n a ²² _ x ɨ ⁴⁴	Geko Karen?
Sgaw	sgaw1245	1408	HEAR	39	na²²_hu⁴⁴	328	n a ²² _ h u ⁴⁴	
Yintale	yint1235	1408	HEAR	39	na³³_xũŋ⁵⁵	328	n a ³³ _ x ũ ∼ ŋ ⁵⁵	Yintale Karen
W. Kayah	west2409	1408	HEAR	39	nị⁴²_xɨə³³	328	n ḭ ⁴² _ x ɨ ə ³³	Kayah Western
Yeinbaw	yinb1236	1408	HEAR	39	ləhv⁵⁵	328	l ə h v ⁵⁵	Yinbaw Karen
Geker	geko1235	1223	HEART	40	ṭaʔ⁵³	109	ʈ a ʔ ⁵³	Geko Karen?
Geba	geba1237	1223	HEART	40	kəṭãʔ⁵³	109	k ə ʈ ã ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1223	HEART	40	nv⁵⁵_me³³	571	n v ⁵⁵ _ m e ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1223	HEART	40	nhə⁴²_sə⁴⁴	571	nʰ ə ⁴² _ s ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1223	HEART	40	thiŋ__lom	630	tʰ i ŋ _ l o m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1223	HEART	40	ṭaʔ⁵³	109	ʈ a ʔ ⁵³	
Lhota	loth1237	1223	HEART	40	lampam	175	l a m p a m	Naga Lotha
Tujia	nort2732	1223	HEART	40	li¹_khu¹_li¹	184	l i ¹ _ kʰ u ¹ _ l i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1223	HEART	40	ṣa⁵⁵_phləo³³	109	ʂ a ⁵⁵ _ pʰ l ə o ³³	Yintale Karen
Hill-Miri	nyis1236	1223	HEART	40	hopuk	234	h o p u k	
Pa'O	paok1235	1223	HEART	40	saʔ²²_ra³³	109	s a ʔ ²² _ r a ³³	
W. Kayah	west2409	1223	HEART	40	ćɛ⁵⁵_plɔ¹¹	109	tsʲ ɛ ⁵⁵ _ p l ɔ ¹¹	Kayah Western
Written Tibetan	tibe1272	1223	HEART	40	sńiŋ	571	s nʲ i ŋ	
Ninglang-Naxi	naxi1245	1223	HEART	40	nv³¹_mi³³	571	n v ³¹ _ m i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1223	HEART	40	temu→luŋ→ʒaŋ	175	t e m u + l u ŋ + ʒ a ŋ	Naga Ao
Garo	garo1247	1223	HEART	40	ka-toŋ	630	k a + t o ŋ	
Sherpa	sher1255	1223	HEART	40	ńiŋHF	571	nʲ i ŋ	Solu-Khumbu Sherpa
Manu	manu1255	1223	HEART	40	sa³³_phløə³³	109	s a ³³ _ pʰ l ø ə ³³	Manumanaw Karen
Yeinbaw	yinb1236	1223	HEART	40	θa⁵⁵_phlvu¹¹	109	θ a ⁵⁵ _ pʰ l v u ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1223	HEART	40	tɨmu→luŋ→chaŋ	175	t ɨ m u + l u ŋ + tsʰ a ŋ	Naga Ao
Yimchunrü	yimc1240	1223	HEART	40	muloŋ	175	m u l o ŋ	Naga Yimchungru
Burmese	nucl1310	1223	HEART	40	hna_lumː	571	h n a _ l u mː	
Lhasa Tibetan	tibe1272	1223	HEART	40	ńiŋ⁵⁵	571	nʲ i ŋ ⁵⁵	
Yeinbaw	yinb1236	1223	HEART	40	θa⁵⁵_phlvu¹¹	175	θ a ⁵⁵ _ pʰ l v u ¹¹	Yinbaw Karen
Kusunda	kusu1250	1223	HEART	121	gopljq	0	g o p l j q	
Nishi	nisi1238	1210	HEAVY	102	əyi	194	ə y i	Nisi?
Geker	geko1235	1210	HEAVY	102	thɨ⁵³	364	tʰ ɨ ⁵³	Geko Karen?
Geba	geba1237	1210	HEAVY	102	ʔəthõʔ⁵³	364	ʔ ə tʰ õ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1210	HEAVY	102	lɨ³³	194	l ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1210	HEAVY	102	łi⁴⁴	194	ɬ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1210	HEAVY	102	ćit_po_TIB	19	tsʲ i t _ p o _	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1210	HEAVY	102	xə⁴⁴	506	x ə ⁴⁴	
Lhota	loth1237	1210	HEAVY	102	khekhe	454	kʰ e kʰ e	Naga Lotha
Tujia	nort2732	1210	HEAVY	102	tu¹	364	t u ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1210	HEAVY	102	ʔathɨ³³	364	ʔ a tʰ ɨ ³³	Yintale Karen
Hill-Miri	nyis1236	1210	HEAVY	102	ei,_əci	194	e i	
Pa'O	paok1235	1210	HEAVY	102	thɨ³³⁴⁴	364	tʰ ɨ ³³/⁴⁴	
W. Kayah	west2409	1210	HEAVY	102	thɨə¹¹	364	tʰ ɨ ə ¹¹	Kayah Western
Written Tibetan	tibe1272	1210	HEAVY	102	lʒ́id_po	194	ɮʲ i d _ p o	
Ninglang-Naxi	naxi1245	1210	HEAVY	102	ẓɨ³³	194	ʐ ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1210	HEAVY	102	taret	601	t a r e t	Naga Ao
Garo	garo1247	1210	HEAVY	102	jrima	194	j r i m a	
Sherpa	sher1255	1210	HEAVY	102	čen→di_LF	194	tʃ e n + d i	Solu-Khumbu Sherpa
Manu	manu1255	1210	HEAVY	102	the⁴⁴_ćə¹¹	364	tʰ e ⁴⁴ _ tsʲ ə ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1210	HEAVY	102	thø¹¹	364	tʰ ø ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1210	HEAVY	102	retɨr	601	r e t ɨ r	Naga Ao
Yimchunrü	yimc1240	1210	HEAVY	102	hamɨlaŋ	489	h a m ɨ l a ŋ	Naga Yimchungru
Burmese	nucl1310	1210	HEAVY	102	leː	194	l eː	
Lhasa Tibetan	tibe1272	1210	HEAVY	102	ći¹³_pu⁵⁵	194	tsʲ i ¹³ _ p u ⁵⁵	
Kusunda	kusu1250	1210	HEAVY	111	niŋgwa	0	n i ŋ g w a	
Nishi	nisi1238	1393	HORN (ANATOMY)	41	əri	279	ə r i	Nisi?
Geker	geko1235	1393	HORN (ANATOMY)	41	nəɨ³³	580	n ə ɨ ³³	Geko Karen?
Geba	geba1237	1393	HORN (ANATOMY)	41	t̯ɛ³³_ʔəno²²	580	ʈ ɛ ³³ _ ʔ ə n o ²²	
Lijiang-Naxi	lich1241	1393	HORN (ANATOMY)	41	kho³³	608	kʰ o ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1393	HORN (ANATOMY)	41	vu³³_khi⁴⁴	608	v u ³³ _ kʰ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1393	HORN (ANATOMY)	41	wa_roŋ	608	w a _ r o ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1393	HORN (ANATOMY)	41	nə̣³³	580	n ə̰ ³³	
Lhota	loth1237	1393	HORN (ANATOMY)	41	echhɨ	77	e tʃʰ ɨ	Naga Lotha
Tujia	nort2732	1393	HORN (ANATOMY)	41	khɨe¹	329	kʰ ɨ e ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1393	HORN (ANATOMY)	41	kəo³³	580	k ə o ³³	Yintale Karen
Pa'O	paok1235	1393	HORN (ANATOMY)	41	noŋ²²	580	n o ŋ ²²	
W. Kayah	west2409	1393	HORN (ANATOMY)	41	nɔ̣¹¹	580	n ɔ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1393	HORN (ANATOMY)	41	rwa	608	r w a	
Ninglang-Naxi	naxi1245	1393	HORN (ANATOMY)	41	khər³³	608	kʰ ə r ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1393	HORN (ANATOMY)	41	tezɨ	412	t e z ɨ	Naga Ao
Garo	garo1247	1393	HORN (ANATOMY)	41	groŋ	279	g r o ŋ	
Sherpa	sher1255	1393	HORN (ANATOMY)	41	arkyokHR	608	a r k y o k	Solu-Khumbu Sherpa
Manu	manu1255	1393	HORN (ANATOMY)	41	nø̣ə¹¹	580	n ø̰ ə ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1393	HORN (ANATOMY)	41	kənvu⁵⁵	580	k ə n v u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1393	HORN (ANATOMY)	41	eyi	412	e y i	Naga Ao
Burmese	nucl1310	1393	HORN (ANATOMY)	41	khjui	608	kʰ j u i	
Lhasa Tibetan	tibe1272	1393	HORN (ANATOMY)	41	ra⁵⁵_ko⁵²	608	r a ⁵⁵ _ k o ⁵²	
Nishi	nisi1238	1209	I	42	ŋo	262	ŋ o	Nisi?
Geker	geko1235	1209	I	42	khe⁵³	262	kʰ e ⁵³	Geko Karen?
Geba	geba1237	1209	I	42	jɛ³³	262	j ɛ ³³	
Lijiang-Naxi	lich1241	1209	I	42	ŋə³¹	262	ŋ ə ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1209	I	42	ŋɔ⁴²	262	ŋ ɔ ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1209	I	42	ʒ́aŋ	330	ʒʲ a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1209	I	42	jạ³³	262	j a̰ ³³	
Lhota	loth1237	1209	I	42	a	332	a	Naga Lotha
Tujia	nort2732	1209	I	42	ŋa³	262	ŋ a ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1209	I	42	khwɛ⁵⁵	262	kʰ w ɛ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1209	I	42	ŋo	262	ŋ o	
Pa'O	paok1235	1209	I	42	khwi⁵⁵	262	kʰ w i ⁵⁵	
W. Kayah	west2409	1209	I	42	va³³	435	v a ³³	Kayah Western
Written Tibetan	tibe1272	1209	I	42	ŋa	262	ŋ a	
Ninglang-Naxi	naxi1245	1209	I	42	ńa³³	262	nʲ a ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1209	I	42	ni	262	n i	Naga Ao
Garo	garo1247	1209	I	42	aŋa	262	a ŋ a	
Sherpa	sher1255	1209	I	42	ŋa_LF	262	ŋ a	Solu-Khumbu Sherpa
Manu	manu1255	1209	I	42	he¹¹	262	h e ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1209	I	42	khi⁵⁵	262	kʰ i ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1209	I	42	ni	262	n i	Naga Ao
Yimchunrü	yimc1240	1209	I	42	i	332	i	Naga Yimchungru
Burmese	nucl1310	1209	I	42	ŋa	262	ŋ a	
Lhasa Tibetan	tibe1272	1209	I	42	ŋa¹³	262	ŋ a ¹³	
Geker	geko1235	1417	KILL	43	ma³³_ṭɨ⁵⁵_t̯a	111	m a ³³ _ ʈ ɨ ⁵⁵ _ ʈ a	Geko Karen?
Geba	geba1237	1417	KILL	43	mɛ³³_ṭi⁴⁴_dɛ̃	111	m ɛ ³³ _ ʈ i ⁴⁴ _ d ɛ̃ ∼	
Lijiang-Naxi	lich1241	1417	KILL	43	kho⁵⁵	413	kʰ o ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1417	KILL	43	se⁵⁵	104	s e ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1417	KILL	43	śe	104	sʲ e	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1417	KILL	43	ma³³_ṭi⁴⁴	111	m a ³³ _ ʈ i ⁴⁴	
Lhota	loth1237	1417	KILL	43	saːthaːt	104	s aː tʰ aː t	Naga Lotha
Tujia	nort2732	1417	KILL	43	pu³	240	p u ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1417	KILL	43	ma¹¹_ṣɛ⁵⁵	111	m a ¹¹ _ ʂ ɛ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1417	KILL	43	pa	240	p a	
Pa'O	paok1235	1417	KILL	43	ma²²_si²²	111	m a ²² _ s i ²²	
W. Kayah	west2409	1417	KILL	43	mẹ¹¹_ćie³³	111	m ḛ ¹¹ _ tsʲ i e ³³	Kayah Western
Written Tibetan	tibe1272	1417	KILL	43	bkroŋ	606	b k r o ŋ	
Ninglang-Naxi	naxi1245	1417	KILL	43	kho¹³	413	kʰ o ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1417	KILL	43	tep→set	104	t e p + s e t	Naga Ao
Garo	garo1247	1417	KILL	43	so-ota	104	s o + o t a	
Sherpa	sher1255	1417	KILL	43	se_LF-	104	s e +	Solu-Khumbu Sherpa
Manu	manu1255	1417	KILL	43	mạ¹¹_si¹¹	111	m a̰ ¹¹ _ s i ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1417	KILL	43	mṿ¹¹_θɨ⁴⁴	111	m v̩ ¹¹ _ θ ɨ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1417	KILL	43	yak→set	104	y a k + s e t	Naga Ao
Yimchunrü	yimc1240	1417	KILL	43	lak→sa	104	l a k + s a	Naga Yimchungru
Burmese	nucl1310	1417	KILL	43	sat	104	s a t	
Lhasa Tibetan	tibe1272	1417	KILL	43	sɛ⁵²	104	s ɛ ⁵²	
Written Tibetan	tibe1272	1417	KILL	43	gsod	104	g s o d	
Kusunda	kusu1250	1417	KILL	97	pat_gn	0	p a t _ g n	
Geker	geko1235	1371	KNEE	44	kəlʌiʔ⁵³_kho²	180	k ə l ʌ i ʔ ⁵³ _ kʰ o ²	Geko Karen?
Geba	geba1237	1371	KNEE	44	kha³³_lo³³_mɛ	180	kʰ a ³³ _ l o ³³ _ m ɛ	
Lijiang-Naxi	lich1241	1371	KNEE	44	mba³³_kv³¹_tv	239	m b a ³³ _ k v ³¹ _ t v	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1371	KNEE	44	phɨ⁵⁵	239	pʰ ɨ ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1371	KNEE	44	gum_ziŋ	479	g u m _ z i ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1371	KNEE	44	khɔ⁴⁴_lẹ³³_k	180	kʰ ɔ ⁴⁴ _ l ḛ ³³ _ k	
Lhota	loth1237	1371	KNEE	44	nkho	233	n kʰ o	Naga Lotha
Tujia	nort2732	1371	KNEE	44	ći⁴_thi⁴_kh	233	tsʲ i ⁴ _ tʰ i ⁴ _ kʰ	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1371	KNEE	44	kha³³_klei⁵⁵	180	kʰ a ³³ _ k l e i ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1371	KNEE	44	lɨbɨ	374	l ɨ b ɨ	
Pa'O	paok1235	1371	KNEE	44	khaŋ³³_leŋ⁴⁴	180	kʰ a ŋ ³³ _ l e ŋ ⁴⁴	
W. Kayah	west2409	1371	KNEE	44	kha¹¹_mạ³³	510	kʰ a ¹¹ _ m a̰ ³³	Kayah Western
Written Tibetan	tibe1272	1371	KNEE	44	pus_mo	239	p u s _ m o	
Ninglang-Naxi	naxi1245	1371	KNEE	44	ŋua³³_ce⁵⁵_p	239	ŋ u a ³³ _ ts e ⁵⁵ _ p	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1371	KNEE	44	temokok	231	t e m o k o k	Naga Ao
Garo	garo1247	1371	KNEE	44	ja-sku	233	j a + s k u	
Sherpa	sher1255	1371	KNEE	44	pu→muHF	239	p u + m u	Solu-Khumbu Sherpa
Manu	manu1255	1371	KNEE	44	khɔ⁴⁴_le¹¹_mi	180	kʰ ɔ ⁴⁴ _ l e ¹¹ _ m i	Manumanaw Karen
Yeinbaw	yinb1236	1371	KNEE	44	kə̃¹¹_le⁵⁵	180	k ə̃ ∼ ¹¹ _ l e ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1371	KNEE	44	telen	180	t e l e n	Naga Ao
Yimchunrü	yimc1240	1371	KNEE	44	mɨ→khɨm	233	m ɨ + kʰ ɨ m	Naga Yimchungru
Burmese	nucl1310	1371	KNEE	44	duː	637	d uː	
Lhasa Tibetan	tibe1272	1371	KNEE	44	pü⁵⁵_mu⁵⁵	239	p y ⁵⁵ _ m u ⁵⁵	
Geba	geba1237	1371	KNEE	44	kha³³_lo³³_mɛ	510	kʰ a ³³ _ l o ³³ _ m ɛ	
Yintale	yint1235	1371	KNEE	44	_klei⁵	510	k l e i ⁵	Yintale Karen
Nishi	nisi1238	1410	KNOW (SOMETHING)	45	cheŋ	272	tsʰ e ŋ	Nisi?
Geker	geko1235	1410	KNOW (SOMETHING)	45	ṭʌiʔ⁵³_laʔ⁵³	110	ʈ ʌ i ʔ ⁵³ _ l a ʔ ⁵³	Geko Karen?
Geba	geba1237	1410	KNOW (SOMETHING)	45	ṭɛʔ⁵³_hɛ⁴⁴	110	ʈ ɛ ʔ ⁵³ _ h ɛ ⁴⁴	
Lijiang-Naxi	lich1241	1410	KNOW (SOMETHING)	45	sɨ³³	110	s ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1410	KNOW (SOMETHING)	45	sə⁴⁴	110	s ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1410	KNOW (SOMETHING)	45	se	110	s e	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1410	KNOW (SOMETHING)	45	ṭeʔ⁵³_ńa⁴⁴	110	ʈ e ʔ ⁵³ _ nʲ a ⁴⁴	
Lhota	loth1237	1410	KNOW (SOMETHING)	45	nci	45	n ts i	Naga Lotha
Tujia	nort2732	1410	KNOW (SOMETHING)	45	xa¹_zi⁴	110	x a ¹ _ z i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1410	KNOW (SOMETHING)	45	ʃi⁵⁵_na¹¹	110	ʃ i ⁵⁵ _ n a ¹¹	Yintale Karen
Hill-Miri	nyis1236	1410	KNOW (SOMETHING)	45	cin	272	ts i n	
Pa'O	paok1235	1410	KNOW (SOMETHING)	45	se²²	110	s e ²²	
W. Kayah	west2409	1410	KNOW (SOMETHING)	45	ćɛ⁵⁵_ńe³³	110	tsʲ ɛ ⁵⁵ _ nʲ e ³³	Kayah Western
Written Tibetan	tibe1272	1410	KNOW (SOMETHING)	45	ćes	110	tsʲ e s	
Ninglang-Naxi	naxi1245	1410	KNOW (SOMETHING)	45	sɨ³³	110	s ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1410	KNOW (SOMETHING)	45	metet	622	m e t e t	Naga Ao
Garo	garo1247	1410	KNOW (SOMETHING)	45	uia	464	u i a	
Sherpa	sher1255	1410	KNOW (SOMETHING)	45	še_LF-	110	ʃ e +	Solu-Khumbu Sherpa
Manu	manu1255	1410	KNOW (SOMETHING)	45	se³³_kə¹¹_nạ	110	s e ³³ _ k ə ¹¹ _ n a̰	Manumanaw Karen
Yeinbaw	yinb1236	1410	KNOW (SOMETHING)	45	θe⁴⁴	110	θ e ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1410	KNOW (SOMETHING)	45	metet	622	m e t e t	Naga Ao
Yimchunrü	yimc1240	1410	KNOW (SOMETHING)	45	mɨkhia	469	m ɨ kʰ i a	Naga Yimchungru
Burmese	nucl1310	1410	KNOW (SOMETHING)	45	si	110	s i	
Lhasa Tibetan	tibe1272	1410	KNOW (SOMETHING)	45	ćẽ⁵²	110	tsʲ ẽ ∼ ⁵²	
Ao-Chungli	chon1286	1410	KNOW (SOMETHING)	45	šitet	110	ʃ i t e t	Naga Ao
Ao-Mongsen	mong1332	1410	KNOW (SOMETHING)	45	ši	110	ʃ i	Naga Ao
Nishi	nisi1238	628	LEAF	46	nanə	562	n a n ə	Nisi?
Geker	geko1235	628	LEAF	46	ṭəɨ³¹_laʔ⁵³	185	ʈ ə ɨ ³¹ _ l a ʔ ⁵³	Geko Karen?
Geba	geba1237	628	LEAF	46	łɛ̃ʔ⁵³	185	ɬ ɛ̃ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	628	LEAF	46	phiə⁵⁵	387	pʰ i ə ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	628	LEAF	46	a³³_pha⁵⁵	387	a ³³ _ pʰ a ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	628	LEAF	46	śa_ba	480	sʲ a _ b a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	628	LEAF	46	lãʔ⁵³	185	l ã ∼ ʔ ⁵³	
Lhota	loth1237	628	LEAF	46	ōwo	278	oː w o	Naga Lotha
Tujia	nort2732	628	LEAF	46	ɣɨe¹_tha²	610	ɣ ɨ e ¹ _ tʰ a ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	628	LEAF	46	la³³	185	l a ³³	Yintale Karen
Hill-Miri	nyis1236	628	LEAF	46	oku	460	o k u	
Pa'O	paok1235	628	LEAF	46	ʔa¹¹_la⁴⁴	185	ʔ a ¹¹ _ l a ⁴⁴	
W. Kayah	west2409	628	LEAF	46	lɛ¹¹	185	l ɛ ¹¹	Kayah Western
Written Tibetan	tibe1272	628	LEAF	46	lo_ma	185	l o _ m a	
Ninglang-Naxi	naxi1245	628	LEAF	46	chə³¹_chə¹³	72	tsʰ ə ³¹ _ tsʰ ə ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	628	LEAF	46	to	414	t o	Naga Ao
Garo	garo1247	628	LEAF	46	bĳak	185	b i j a k	
Sherpa	sher1255	628	LEAF	46	šo→makHR	480	ʃ o + m a k	Solu-Khumbu Sherpa
Manu	manu1255	628	LEAF	46	la¹¹	185	l a ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	628	LEAF	46	la⁵⁵	185	l a ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	628	LEAF	46	towa	414	t o w a	Naga Ao
Yimchunrü	yimc1240	628	LEAF	46	peneu	562	p e n e u	Naga Yimchungru
Burmese	nucl1310	628	LEAF	46	arwak	610	a r w a k	
Lhasa Tibetan	tibe1272	628	LEAF	46	lo¹³_ma⁵⁵	185	l o ¹³ _ m a ⁵⁵	
Lhota	loth1237	628	LEAF	46	loːmo	161	l oː m o	Naga Lotha
